주요 좌표(위도, 경도)
한림대 - (37.88728485257855, 127.73813767661932)
소양강 처녀상 - (37.893937060176555, 127.7252778541533)
소양강 스카이워크 - (37.89456032346465, 127.72355022313691)
춘천역 - (37.88485298605365, 127.71689627264266)
남춘천역 - (37.86413030305235, 127.72372988091287)
춘천 고속버스 터미널 - (37.86451955122448, 127.7175401917443)
춘천 시외버스 터미널 - (37.86302644695395, 127.71861665688316)
공지천 조각공원 - (37.872832813614394, 127.71347809617603)
소양호 유람선 - (37.95186755299528, 127.815889593502)
소양강댐 주차장 - (37.93790474873468, 127.80192826024657)
춘천 명동 닭갈비골목 - (37.87912777443196, 127.7275110358298)
의암공원 - (37.87359510050156, 127.70808962330787)
