// 도보
37.887287176034405, 127.73812633211374(한림대)
37.88673998721666 이고, 경도는 127.7395418216527
37.88608941507719 이고, 경도는 127.73840993065934 
37.8844589078771 이고, 경도는 127.73838228115287
37.88386775304488 이고, 경도는 127.73783075388724
37.88346179047672 이고, 경도는 127.73791764023197
37.88351731808659 이고, 경도는 127.73840129698783(정류장 승차)
//버스
37.88272186686768 이고, 경도는 127.73630466811277
37.88120241648185 이고, 경도는 127.7343628729 
37.883011714705226 이고, 경도는 127.72881667000327
37.880486725964644 이고, 경도는 127.72774605353496
37.87671646540651 이고, 경도는 127.72260558521566
37.87450737985166 이고, 경도는 127.71552587534023
37.87411101342056 이고, 경도는 127.71699958099465(정류장 하차)
// 도보
37.87443517143577 이고, 경도는 127.71554790836063
37.87384678065842 이고, 경도는 127.7137805411852
37.87353566739754 이고, 경도는 127.71382868448559
37.87337034831435 이고, 경도는 127.71360546048625
37.872772046824494 이고, 경도는 127.71421342526094
37.87255405393034 이고, 경도는 127.71376238533314
37.87274012913739 이고, 경도는 127.71353402967831(조각공원)
// 조각공원 -> 스카이워크
37.87270548048705 이고, 경도는 127.71404798321694
37.87409064389781 이고, 경도는 127.71293615048799
37.87421972253032 이고, 경도는 127.71319312293802
37.87458172611178 이고, 경도는 127.71292383479054(정류장 승차)
 37.877153595621664 이고, 경도는 127.71148238867266
37.889697151431875 이고, 경도는 127.71846940771466
37.892463753055765 이고, 경도는 127.72129294837544
37.89326022093459 이고, 경도는 127.72509784184162(정류장 하차)
// 도보
37.8935758435142 이고, 경도는 127.72651065358178
37.893792509129014 이고, 경도는 127.72643888640032
37.893209605132434 이고, 경도는 127.72380700694275
37.89455965955911 이고, 경도는 127.72365822050989(스카이워크)
